timestamp;total_packets;total_loopback;total_multicast;total_udp;total_tcp;total_options;total_fragment;total_fin;total_syn;total_intensity;input_packets;input_udp;input_tcp;input_options;input_fragment;input_fin;input_syn;input_intensity;output_packets;output_udp;output_tcp;output_options;output_fragment;output_fin;output_syn;output_intensity
2025-11-06T16:04:05.865042;322;0;41;137;12;0;111;0;0;159.82943144089765;25;25;0;0;11;0;0;12.40911734789578;36;36;0;0;36;0;0;17.869128980969922
2025-11-06T16:04:07.879060;330;0;61;89;63;0;140;0;0;163.9786869932015;3;3;0;0;1;0;0;1.490715336301832;19;18;1;0;19;0;0;9.441197129911602
2025-11-06T16:04:09.893099;398;0;115;143;56;0;189;2;8;197.77976278982314;8;8;0;0;4;0;0;3.9754726188909175;13;13;0;0;13;0;0;6.4601430056977405
2025-11-06T16:04:11.907070;376;0;94;150;38;0;135;4;3;186.86654098766633;16;16;0;0;9;0;0;7.951767701602822;27;27;0;0;27;0;0;13.418607996454762
2025-11-06T16:04:13.921067;312;0;71;134;18;0;142;4;0;155.0116230627587;28;28;0;0;18;0;0;13.911299505632192;57;57;0;0;57;0;0;28.319431136465532
2025-11-06T16:04:15.933052;310;0;87;155;0;0;144;0;0;154.17099581856868;32;32;0;0;21;0;0;15.914425374819993;81;81;0;0;81;0;0;40.28338923001311
2025-11-06T16:04:17.947085;334;0;37;115;48;0;134;0;2;165.9702006609201;44;37;7;0;21;0;1;21.86433781161822;65;60;5;0;65;0;1;32.299589948981456
2025-11-06T16:04:19.968038;228;0;81;89;25;0;110;2;4;112.93257640386703;4;4;0;0;0;0;0;1.9812732702432811;37;37;0;0;37;0;0;18.326777749750352
2025-11-06T16:04:22.036061;396;0;0;119;77;0;135;4;12;191.6010614662021;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-06T16:04:24.050033;400;0;12;114;84;0;132;4;8;198.75288523824213;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-06T16:04:26.065106;348;0;71;77;31;0;83;0;0;172.8770196819912;3;3;0;0;2;0;0;1.490319135189579;50;50;0;0;50;0;0;24.83865225315965
2025-11-06T16:04:28.082037;398;0;50;132;18;2;38;6;0;197.5752905221362;38;20;18;0;38;6;0;18.863972461912503;70;68;0;2;0;0;0;34.74942295615461
2025-11-06T16:04:30.097097;394;0;48;60;137;0;146;29;0;195.72876521169795;141;4;137;0;141;29;0;70.04506572296805;52;52;0;0;3;0;0;25.832222819818004
2025-11-06T16:04:32.112087;384;0;39;67;115;0;130;48;2;190.74252757312667;120;9;111;0;117;48;1;59.607039866602086;52;48;4;0;13;0;1;25.82971727552757
2025-11-06T16:04:34.133123;348;0;55;85;83;0;115;4;13;172.30055527178854;37;4;33;0;35;0;1;18.319311911080966;69;59;10;0;38;0;1;34.16304113147531
2025-11-06T16:04:36.147068;400;0;0;16;180;0;180;2;4;198.7375112489527;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
